event_id,original_event_id,source,country,state_or_province,latitude,longitude,event_date,sample_type,is_landslide,trigger,fatalities,nearest_event_distance_km,original_source_fields
BG-NER-0001,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,24.94417,93.63948,2015-07-25,background,0,None (Background Reference),0,9.36,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 9.36, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0002,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,25.6338,91.9295,2011-07-24,background,0,None (Background Reference),0,6.73,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 6.73, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0003,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,27.14587,95.23086,2015-03-19,background,0,None (Background Reference),0,31.22,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 31.22, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0004,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,26.65003,91.58982,2012-06-02,background,0,None (Background Reference),0,21.78,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 21.78, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0005,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,27.78106,95.3191,2015-07-22,background,0,None (Background Reference),0,11.7,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 11.7, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0006,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,27.00984,92.89092,2007-08-26,background,0,None (Background Reference),0,25.35,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 25.35, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0007,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,27.27322,92.49028,2015-09-01,background,0,None (Background Reference),0,19.77,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 19.77, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0008,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,25.30044,91.158,2016-07-07,background,0,None (Background Reference),0,24.04,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 24.04, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0009,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,26.19294,92.38547,2015-09-23,background,0,None (Background Reference),0,51.38,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 51.38, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0010,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,24.34623,92.48621,2010-06-03,background,0,None (Background Reference),0,13.1,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 13.1, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0011,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,25.61465,90.97239,2008-08-14,background,0,None (Background Reference),0,31.65,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 31.65, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0012,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,25.86713,91.59995,2016-05-18,background,0,None (Background Reference),0,25.43,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 25.43, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0013,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,27.17086,93.44026,2014-09-22,background,0,None (Background Reference),0,19.1,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 19.1, 'temporal_anchor': 'empirical_monsoon_distribution'}"
BG-NER-0014,BACKGROUND_SAMPLE,STRATIFIED_BUFFER_SELECTION,India,Assam,27.70855,93.18026,2010-04-20,background,0,None (Background Reference),0,23.23,"{'selection_method': 'district_stratified_buffer_3km', 'min_distance_km': 23.23, 'temporal_anchor': 'empirical_monsoon_distribution'}"
