event_id,original_event_id,source,country,state_or_province,latitude,longitude,event_date,sample_type,is_landslide,trigger,fatalities,original_source_fields
GLC-REAL-2164,2164,NASA_GLC,India,Manipur,25.30986,94.48215,2010-07-29,observed_landslide,1,Unknown,0,"{'location_description': 'Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur', 'source_name': 'E-Pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=28..210810.aug10'}"
GLC-REAL-5122,5122,NASA_GLC,India,Nagaland,25.7658,93.9413,2013-07-17,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland', 'source_name': 'The Hindu', 'source_link': 'http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece'}"
GLC-REAL-5123,5123,NASA_GLC,India,Nagaland,25.7131,94.0885,2013-07-17,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway 2 Near Meriema Village, 10 Km Away From Kohima', 'source_name': 'The Hindu', 'source_link': 'http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece'}"
GLC-REAL-7370,7370,NASA_GLC,India,Manipur,24.1419,94.1078,2015-08-01,observed_landslide,1,Unknown,0,"{'location_description': 'between Moltuk to New Songjang village', 'source_name': 'E-PAO', 'source_link': 'http://e-pao.net/GP.asp?src=21..020815.aug15'}"
GLC-REAL-5084,5084,NASA_GLC,India,Nagaland,25.616,94.1167,2013-07-12,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland', 'source_name': 'www.assamtribune.com', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=jul1613/oth06'}"
GLC-REAL-2566,2566,NASA_GLC,India,Nagaland,25.4769,94.1351,2010-10-08,observed_landslide,1,Unknown,0,"{'location_description': 'Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=23..111010.oct10'}"
GLC-REAL-1109,1109,NASA_GLC,India,Assam,25.5215,93.1645,2009-08-20,observed_landslide,1,Unknown,0,"{'location_description': 'Lumding-Badarpur section in North Cachar Hills district', 'source_name': 'prokerala', 'source_link': 'http://www.prokerala.com/news/articles/a75292.html'}"
GLC-REAL-1961,1961,NASA_GLC,India,Meghalaya,25.8833,91.2,2010-06-09,observed_landslide,1,Unknown,0,"{'location_description': 'Ishok Chingphu(?), Bishnupur, Assam', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=Snipp3..100610.jun10'}"
GLC-REAL-2578,2578,NASA_GLC,India,Nagaland,25.3179,94.0462,2010-10-09,observed_landslide,1,Unknown,0,"{'location_description': 'NH-39 in Karong area, Manipur', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=5..101010.oct10'}"
GLC-REAL-322,322,NASA_GLC,India,Assam,24.75,93.4333,2007-10-21,observed_landslide,1,Unknown,0,"{'location_description': 'National Highway 53 at Nungba in Tamenglong district of Manipur', 'source_name': 'Hmar.net', 'source_link': 'http://hmar.net/?p=1870'}"
GLC-REAL-5552,5552,NASA_GLC,India,Manipur,25.0985,94.3619,2013-09-24,observed_landslide,1,Unknown,0,"{'location_description': 'Ukhrul, Manipur', 'source_name': 'www.morungexpress.com', 'source_link': 'http://www.morungexpress.com/regional/104056.html'}"
GLC-REAL-2025,2025,NASA_GLC,India,Meghalaya,25.5728,91.885,2010-06-28,observed_landslide,1,Unknown,0,"{'location_description': 'Police CID complex(?), Shillong, Meghalaya', 'source_name': 'hindustantimes', 'source_link': 'http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx'}"
GLC-REAL-9405,9405,NASA_GLC,India,Nagaland,26.7223,95.0243,2016-04-19,observed_landslide,1,Unknown,0,"{'location_description': 'Techahan Ward, Mon, Nagaland, India', 'source_name': 'Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058'}"
GLC-REAL-5343,5343,NASA_GLC,India,Assam,24.7625,93.4341,2013-08-17,observed_landslide,1,Unknown,0,"{'location_description': 'The Imphal-Jiribam Section Of Nh-37 In Tamenglong District', 'source_name': 'www.nagalandpost.com', 'source_link': 'http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDA0MzUxNQ%3D%3D-zy3k3F6024s%3D'}"
GLC-REAL-6971,6971,NASA_GLC,India,Arunachal Pradesh,27.0987,93.816,2015-06-09,observed_landslide,1,Unknown,0,"{'location_description': 'Itanagar, Arunachal Pradesh', 'source_name': 'First Post', 'source_link': 'http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html'}"
GLC-REAL-1611,1611,NASA_GLC,India,Assam,25.1553,93.028,2010-04-01,observed_landslide,1,Unknown,0,"{'location_description': 'Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam', 'source_name': 'en.apa', 'source_link': 'http://en.apa.az/news.php?id=119178'}"
