event_id,sample_type,latitude,longitude,landcover_class,lc_tree_cover,land_cover_builtup,landcover_source
GLC-REAL-2164,observed_landslide,25.30986,94.48215,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5122,observed_landslide,25.7658,93.9413,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5123,observed_landslide,25.7131,94.0885,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-7370,observed_landslide,24.1419,94.1078,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5084,observed_landslide,25.616,94.1167,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2566,observed_landslide,25.4769,94.1351,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-1109,observed_landslide,25.5215,93.1645,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-1961,observed_landslide,25.8833,91.2,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2578,observed_landslide,25.3179,94.0462,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-322,observed_landslide,24.75,93.4333,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5552,observed_landslide,25.0985,94.3619,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2025,observed_landslide,25.5728,91.885,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-9405,observed_landslide,26.7223,95.0243,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5343,observed_landslide,24.7625,93.4341,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-6971,observed_landslide,27.0987,93.816,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-1611,observed_landslide,25.1553,93.028,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-147,observed_landslide,22.533,92.899,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4382,observed_landslide,25.1175,92.8573,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2424,observed_landslide,23.591,92.9296,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5431,observed_landslide,24.9829,93.5063,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3672,observed_landslide,25.5125,93.3613,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2253,observed_landslide,25.31006,94.48265,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-1108,observed_landslide,24.9925,93.5,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-9168,observed_landslide,27.6438,93.871,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3560,observed_landslide,24.8286,93.5935,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-587,observed_landslide,27.2298,94.0989,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-8012,observed_landslide,25.9703,91.8584,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-7335,observed_landslide,25.5145,90.2023,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-141,observed_landslide,25.38,91.88,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3983,observed_landslide,26.1548,91.7351,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-148,observed_landslide,22.479,92.967,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-1775,observed_landslide,27.8965,96.1779,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3663,observed_landslide,25.6682,94.1099,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-7385,observed_landslide,24.004,93.9815,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2575,observed_landslide,25.5242,92.9914,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3840,observed_landslide,24.6869,93.9157,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-6015,observed_landslide,27.9032,96.174,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3741,observed_landslide,25.4191,94.1079,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2106,observed_landslide,26.8716,94.9921,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-9051,observed_landslide,26.09748,91.87443,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-870,observed_landslide,27.4,92.35,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3830,observed_landslide,24.3527,94.3429,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4906,observed_landslide,26.0977,94.7499,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3269,observed_landslide,28.0791,96.5242,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-6990,observed_landslide,26.0319,94.5466,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-6222,observed_landslide,27.1249,93.7706,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-9169,observed_landslide,26.1677,94.2442,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4435,observed_landslide,27.174,95.8011,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4313,observed_landslide,28.4659,95.86,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-2344,observed_landslide,24.7505,93.4221,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-7263,observed_landslide,25.4477,94.0489,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5271,observed_landslide,26.284,94.5808,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4424,observed_landslide,26.149,91.7351,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-3525,observed_landslide,25.0672,93.4093,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-7369,observed_landslide,24.1988,94.1016,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4892,observed_landslide,27.8776,94.25,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-4377,observed_landslide,26.1475,91.7356,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5430,observed_landslide,24.9037,93.487,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-7264,observed_landslide,25.4538,93.9827,,,,ESA_WorldCover_Tile_Unavailable
GLC-REAL-5006,observed_landslide,26.1147,94.3864,,,,ESA_WorldCover_Tile_Unavailable
