sample_id,label,sample_type,data_pedigree,source,event_date,state,latitude,longitude,trigger,fatalities,dem_source,rainfall_source,soil_source,landcover_source,original_source_fields,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa
GLC-REAL-2164,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-07-29,Manipur,25.30986,94.48215,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur', 'source_name': 'E-Pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=28..210810.aug10'}",1551.0,30.34,250.02,17.06,32.41,,,,,,,,,,,
GLC-REAL-5122,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-17,Nagaland,25.7658,93.9413,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland', 'source_name': 'The Hindu', 'source_link': 'http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece'}",807.0,41.26,308.83,5.65,24.17,,,,,,,,,,,
GLC-REAL-5123,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-17,Nagaland,25.7131,94.0885,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 2 Near Meriema Village, 10 Km Away From Kohima', 'source_name': 'The Hindu', 'source_link': 'http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece'}",1413.0,25.36,349.88,3.66,25.34,,,,,,,,,,,
GLC-REAL-7370,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-08-01,Manipur,24.1419,94.1078,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'between Moltuk to New Songjang village', 'source_name': 'E-PAO', 'source_link': 'http://e-pao.net/GP.asp?src=21..020815.aug15'}",1173.0,33.06,309.81,2.09,71.58,,,,,,,,,,,
GLC-REAL-5084,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-12,Nagaland,25.616,94.1167,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland', 'source_name': 'www.assamtribune.com', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=jul1613/oth06'}",1591.0,26.27,191.69,18.68,107.07,,,,,,,,,,,
GLC-REAL-2566,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-10-08,Nagaland,25.4769,94.1351,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=23..111010.oct10'}",1674.0,20.08,204.23,52.1,92.98,,,,,,,,,,,
GLC-REAL-1109,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2009-08-20,Assam,25.5215,93.1645,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lumding-Badarpur section in North Cachar Hills district', 'source_name': 'prokerala', 'source_link': 'http://www.prokerala.com/news/articles/a75292.html'}",281.0,3.93,165.96,12.55,40.34,,,,,,,,,,,
GLC-REAL-1961,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-06-09,Meghalaya,25.8833,91.2,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Ishok Chingphu(?), Bishnupur, Assam', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=Snipp3..100610.jun10'}",255.0,25.92,210.96,21.72,69.05,,,,,,,,,,,
GLC-REAL-2578,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-10-09,Nagaland,25.3179,94.0462,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'NH-39 in Karong area, Manipur', 'source_name': 'e-pao', 'source_link': 'http://www.e-pao.net/GP.asp?src=5..101010.oct10'}",1007.0,23.44,357.8,26.82,107.81,,,,,,,,,,,
GLC-REAL-322,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2007-10-21,Assam,24.75,93.4333,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 53 at Nungba in Tamenglong district of Manipur', 'source_name': 'Hmar.net', 'source_link': 'http://hmar.net/?p=1870'}",471.0,23.43,247.38,2.38,19.51,,,,,,,,,,,
