event_id,sample_type,event_date,latitude,longitude,rainfall_24h_mm,rainfall_72h_mm,rainfall_source
GLC-REAL-2164,observed_landslide,2010-07-29,25.30986,94.48215,17.06,32.41,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5122,observed_landslide,2013-07-17,25.7658,93.9413,5.65,24.17,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5123,observed_landslide,2013-07-17,25.7131,94.0885,3.66,25.34,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-7370,observed_landslide,2015-08-01,24.1419,94.1078,2.09,71.58,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5084,observed_landslide,2013-07-12,25.616,94.1167,18.68,107.07,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2566,observed_landslide,2010-10-08,25.4769,94.1351,52.1,92.98,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1109,observed_landslide,2009-08-20,25.5215,93.1645,12.55,40.34,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1961,observed_landslide,2010-06-09,25.8833,91.2,21.72,69.05,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2578,observed_landslide,2010-10-09,25.3179,94.0462,26.82,107.81,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-322,observed_landslide,2007-10-21,24.75,93.4333,2.38,19.51,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5552,observed_landslide,2013-09-24,25.0985,94.3619,0.3,0.56,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-2025,observed_landslide,2010-06-28,25.5728,91.885,49.93,121.2,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-9405,observed_landslide,2016-04-19,26.7223,95.0243,10.83,37.9,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-5343,observed_landslide,2013-08-17,24.7625,93.4341,8.13,26.33,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-6971,observed_landslide,2015-06-09,27.0987,93.816,44.35,137.97,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-1611,observed_landslide,2010-04-01,25.1553,93.028,40.47,104.47,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-147,observed_landslide,2007-07-30,22.533,92.899,0.31,3.17,NASA_POWER_PRECTOTCORR_Daily
GLC-REAL-4382,observed_landslide,2012-06-03,25.1175,92.8573,27.34,76.45,NASA_POWER_PRECTOTCORR_Daily
