event_id,sample_type,clay_content_pct,sand_content_pct,silt_content_pct,bulk_density_g_cm3,soil_ph,soil_organic_carbon_g_kg,soil_source,soil_api_status
GLC-REAL-2164,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-5122,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-5123,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-7370,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-5084,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-2566,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-1109,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-1961,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-2578,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-322,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-5552,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-2025,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-9405,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-5343,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-6971,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
GLC-REAL-1611,observed_landslide,,,,,,,ISRIC_SoilGrids_2.0_Unavailable,API_503_SERVICE_TEMPORARILY_UNAVAILABLE
