event_id,sample_type,latitude,longitude,elevation_m,slope_deg,aspect_deg,dem_source
GLC-REAL-2164,observed_landslide,25.30986,94.48215,1551.0,30.34,250.02,NASA_USGS_SRTM_30m
GLC-REAL-5122,observed_landslide,25.7658,93.9413,807.0,41.26,308.83,NASA_USGS_SRTM_30m
GLC-REAL-5123,observed_landslide,25.7131,94.0885,1413.0,25.36,349.88,NASA_USGS_SRTM_30m
GLC-REAL-7370,observed_landslide,24.1419,94.1078,1173.0,33.06,309.81,NASA_USGS_SRTM_30m
GLC-REAL-5084,observed_landslide,25.616,94.1167,1591.0,26.27,191.69,NASA_USGS_SRTM_30m
GLC-REAL-2566,observed_landslide,25.4769,94.1351,1674.0,20.08,204.23,NASA_USGS_SRTM_30m
GLC-REAL-1109,observed_landslide,25.5215,93.1645,281.0,3.93,165.96,NASA_USGS_SRTM_30m
GLC-REAL-1961,observed_landslide,25.8833,91.2,255.0,25.92,210.96,NASA_USGS_SRTM_30m
GLC-REAL-2578,observed_landslide,25.3179,94.0462,1007.0,23.44,357.8,NASA_USGS_SRTM_30m
GLC-REAL-322,observed_landslide,24.75,93.4333,471.0,23.43,247.38,NASA_USGS_SRTM_30m
GLC-REAL-5552,observed_landslide,25.0985,94.3619,1898.0,8.98,71.57,NASA_USGS_SRTM_30m
GLC-REAL-2025,observed_landslide,25.5728,91.885,1504.0,8.98,71.57,NASA_USGS_SRTM_30m
GLC-REAL-9405,observed_landslide,26.7223,95.0243,696.0,17.01,119.36,NASA_USGS_SRTM_30m
GLC-REAL-5343,observed_landslide,24.7625,93.4341,666.0,34.91,229.84,NASA_USGS_SRTM_30m
GLC-REAL-6971,observed_landslide,27.0987,93.816,215.0,13.52,146.31,NASA_USGS_SRTM_30m
GLC-REAL-1611,observed_landslide,25.1553,93.028,577.0,21.61,104.62,NASA_USGS_SRTM_30m
GLC-REAL-147,observed_landslide,22.533,92.899,809.0,16.8,353.66,NASA_USGS_SRTM_30m
GLC-REAL-4382,observed_landslide,25.1175,92.8573,154.0,9.87,286.7,NASA_USGS_SRTM_30m
GLC-REAL-2424,observed_landslide,23.591,92.9296,803.0,17.22,323.75,NASA_USGS_SRTM_30m
GLC-REAL-5431,observed_landslide,24.9829,93.5063,1305.0,30.86,112.99,NASA_USGS_SRTM_30m
GLC-REAL-3672,observed_landslide,25.5125,93.3613,317.0,6.65,0.0,NASA_USGS_SRTM_30m
GLC-REAL-2253,observed_landslide,25.31006,94.48265,1544.0,31.05,221.63,NASA_USGS_SRTM_30m
GLC-REAL-1108,observed_landslide,24.9925,93.5,1223.0,11.39,155.56,NASA_USGS_SRTM_30m
GLC-REAL-9168,observed_landslide,27.6438,93.871,1707.0,28.18,354.64,NASA_USGS_SRTM_30m
GLC-REAL-3560,observed_landslide,24.8286,93.5935,732.0,37.98,286.11,NASA_USGS_SRTM_30m
GLC-REAL-587,observed_landslide,27.2298,94.0989,95.0,2.13,116.57,NASA_USGS_SRTM_30m
GLC-REAL-8012,observed_landslide,25.9703,91.8584,289.0,11.35,228.37,NASA_USGS_SRTM_30m
GLC-REAL-7335,observed_landslide,25.5145,90.2023,314.0,10.22,56.31,NASA_USGS_SRTM_30m
GLC-REAL-141,observed_landslide,25.38,91.88,1307.0,40.32,199.5,NASA_USGS_SRTM_30m
GLC-REAL-3983,observed_landslide,26.1548,91.7351,57.0,2.13,243.43,NASA_USGS_SRTM_30m
GLC-REAL-148,observed_landslide,22.479,92.967,446.0,17.78,207.9,NASA_USGS_SRTM_30m
GLC-REAL-1775,observed_landslide,27.8965,96.1779,209.0,6.38,26.57,NASA_USGS_SRTM_30m
GLC-REAL-3663,observed_landslide,25.6682,94.1099,1437.0,8.94,147.99,NASA_USGS_SRTM_30m
GLC-REAL-7385,observed_landslide,24.004,93.9815,1458.0,35.83,198.85,NASA_USGS_SRTM_30m
GLC-REAL-2575,observed_landslide,25.5242,92.9914,159.0,16.43,137.29,NASA_USGS_SRTM_30m
GLC-REAL-3840,observed_landslide,24.6869,93.9157,780.0,1.91,0.0,NASA_USGS_SRTM_30m
GLC-REAL-6015,observed_landslide,27.9032,96.174,208.0,0.95,270.0,NASA_USGS_SRTM_30m
GLC-REAL-3741,observed_landslide,25.4191,94.1079,1397.0,11.5,124.99,NASA_USGS_SRTM_30m
GLC-REAL-2106,observed_landslide,26.8716,94.9921,284.0,10.05,228.81,NASA_USGS_SRTM_30m
GLC-REAL-9051,observed_landslide,26.09748,91.87443,188.0,33.84,55.12,NASA_USGS_SRTM_30m
GLC-REAL-870,observed_landslide,27.4,92.35,2624.0,27.34,20.77,NASA_USGS_SRTM_30m
GLC-REAL-3830,observed_landslide,24.3527,94.3429,286.0,16.72,176.82,NASA_USGS_SRTM_30m
GLC-REAL-4906,observed_landslide,26.0977,94.7499,1553.0,3.44,56.31,NASA_USGS_SRTM_30m
GLC-REAL-3269,observed_landslide,28.0791,96.5242,556.0,25.51,257.91,NASA_USGS_SRTM_30m
GLC-REAL-6990,observed_landslide,26.0319,94.5466,1557.0,40.14,288.43,NASA_USGS_SRTM_30m
GLC-REAL-6222,observed_landslide,27.1249,93.7706,164.0,27.37,93.69,NASA_USGS_SRTM_30m
GLC-REAL-9169,observed_landslide,26.1677,94.2442,777.0,14.96,356.42,NASA_USGS_SRTM_30m
GLC-REAL-4435,observed_landslide,27.174,95.8011,296.0,0.95,0.0,NASA_USGS_SRTM_30m
GLC-REAL-4313,observed_landslide,28.4659,95.86,1063.0,27.91,114.15,NASA_USGS_SRTM_30m
GLC-REAL-2344,observed_landslide,24.7505,93.4221,787.0,10.76,37.87,NASA_USGS_SRTM_30m
GLC-REAL-7263,observed_landslide,25.4477,94.0489,1332.0,24.69,43.53,NASA_USGS_SRTM_30m
GLC-REAL-5271,observed_landslide,26.284,94.5808,726.0,25.85,93.95,NASA_USGS_SRTM_30m
GLC-REAL-4424,observed_landslide,26.149,91.7351,53.0,2.86,90.0,NASA_USGS_SRTM_30m
GLC-REAL-3525,observed_landslide,25.0672,93.4093,465.0,14.04,323.13,NASA_USGS_SRTM_30m
GLC-REAL-7369,observed_landslide,24.1988,94.1016,1392.0,22.37,21.37,NASA_USGS_SRTM_30m
GLC-REAL-4892,observed_landslide,27.8776,94.25,961.0,40.77,228.92,NASA_USGS_SRTM_30m
GLC-REAL-4377,observed_landslide,26.1475,91.7356,54.0,0.0,0.0,NASA_USGS_SRTM_30m
GLC-REAL-5430,observed_landslide,24.9037,93.487,1259.0,34.16,335.32,NASA_USGS_SRTM_30m
GLC-REAL-7264,observed_landslide,25.4538,93.9827,1778.0,24.59,10.49,NASA_USGS_SRTM_30m
GLC-REAL-5006,observed_landslide,26.1147,94.3864,355.0,5.79,350.54,NASA_USGS_SRTM_30m
GLC-REAL-9335,observed_landslide,24.5202,92.7239,43.0,0.95,90.0,NASA_USGS_SRTM_30m
GLC-REAL-7279,observed_landslide,24.9818,93.5142,1251.0,4.86,101.31,NASA_USGS_SRTM_30m
GLC-REAL-6288,observed_landslide,26.1985,91.7998,81.0,8.58,276.34,NASA_USGS_SRTM_30m
GLC-REAL-5087,observed_landslide,25.6269,94.1139,1572.0,14.27,121.61,NASA_USGS_SRTM_30m
GLC-REAL-258,observed_landslide,24.4279,94.0564,896.0,10.76,105.26,NASA_USGS_SRTM_30m
GLC-REAL-5338,observed_landslide,26.8727,94.9275,134.0,2.13,26.57,NASA_USGS_SRTM_30m
GLC-REAL-2411,observed_landslide,27.0011,93.7273,106.0,3.44,326.31,NASA_USGS_SRTM_30m
GLC-REAL-6143,observed_landslide,23.7327,92.7463,840.0,27.61,300.65,NASA_USGS_SRTM_30m
GLC-REAL-9124,observed_landslide,25.203,90.5573,146.0,17.75,308.66,NASA_USGS_SRTM_30m
GLC-REAL-2282,observed_landslide,26.1984,94.8158,1881.0,29.21,63.43,NASA_USGS_SRTM_30m
GLC-REAL-9338,observed_landslide,24.4638,92.4943,101.0,11.98,45.0,NASA_USGS_SRTM_30m
GLC-REAL-2421,observed_landslide,23.75407,92.74129,975.0,22.37,158.63,NASA_USGS_SRTM_30m
GLC-REAL-2249,observed_landslide,26.0814,94.803,950.0,36.04,110.1,NASA_USGS_SRTM_30m
GLC-REAL-8901,observed_landslide,25.7902,94.1318,1286.0,10.56,169.7,NASA_USGS_SRTM_30m
GLC-REAL-2283,observed_landslide,24.8961,93.4957,1069.0,32.95,162.03,NASA_USGS_SRTM_30m
GLC-REAL-6016,observed_landslide,24.8669,92.3576,23.0,0.95,180.0,NASA_USGS_SRTM_30m
GLC-REAL-215,observed_landslide,25.7428,93.9136,465.0,19.79,76.61,NASA_USGS_SRTM_30m
GLC-REAL-7780,observed_landslide,23.3572,92.7878,1379.0,9.32,293.96,NASA_USGS_SRTM_30m
GLC-REAL-2281,observed_landslide,25.6156,94.11603,1620.0,30.1,198.43,NASA_USGS_SRTM_30m
GLC-REAL-1996,observed_landslide,26.4333,94.8833,556.0,25.92,59.04,NASA_USGS_SRTM_30m
GLC-REAL-6283,observed_landslide,26.1314,91.7548,77.0,7.83,75.96,NASA_USGS_SRTM_30m
GLC-REAL-8930,observed_landslide,26.1699,94.4922,1167.0,37.48,47.64,NASA_USGS_SRTM_30m
GLC-REAL-869,observed_landslide,27.2333,94.1167,88.0,2.13,333.43,NASA_USGS_SRTM_30m
GLC-REAL-285,observed_landslide,24.1293,92.6921,829.0,13.07,158.96,NASA_USGS_SRTM_30m
GLC-REAL-3662,observed_landslide,25.03562,94.01442,869.0,24.17,211.33,NASA_USGS_SRTM_30m
GLC-REAL-5427,observed_landslide,25.3833,94.1884,1685.0,23.77,330.52,NASA_USGS_SRTM_30m
GLC-REAL-8339,observed_landslide,26.1666,91.7042,236.0,15.18,317.49,NASA_USGS_SRTM_30m
GLC-REAL-4905,observed_landslide,26.0977,94.7031,1710.0,31.05,48.37,NASA_USGS_SRTM_30m
GLC-REAL-9186,observed_landslide,25.48,94.1383,1705.0,17.66,222.88,NASA_USGS_SRTM_30m
GLC-REAL-5107,observed_landslide,25.6269,94.1139,1572.0,14.27,121.61,NASA_USGS_SRTM_30m
GLC-REAL-7253,observed_landslide,24.7979,92.9974,28.0,0.95,270.0,NASA_USGS_SRTM_30m
GLC-REAL-6286,observed_landslide,26.1044,91.7082,54.0,2.7,135.0,NASA_USGS_SRTM_30m
GLC-REAL-594,observed_landslide,24.9336,93.8275,1033.0,15.92,173.29,NASA_USGS_SRTM_30m
GLC-REAL-5337,observed_landslide,26.4205,94.9731,688.0,24.63,250.91,NASA_USGS_SRTM_30m
GLC-REAL-3881,observed_landslide,27.1034,93.6885,146.0,1.35,135.0,NASA_USGS_SRTM_30m
GLC-REAL-3925,observed_landslide,27.4888,93.0153,549.0,30.59,40.43,NASA_USGS_SRTM_30m
GLC-REAL-7383,observed_landslide,23.899,94.1434,266.0,12.23,247.38,NASA_USGS_SRTM_30m
GLC-REAL-8900,observed_landslide,25.0118,94.3136,1395.0,3.44,56.31,NASA_USGS_SRTM_30m
GLC-REAL-4757,observed_landslide,28.1193,95.1645,791.0,40.39,304.62,NASA_USGS_SRTM_30m
GLC-REAL-7666,observed_landslide,25.1019,93.3729,1144.0,4.04,315.0,NASA_USGS_SRTM_30m
GLC-REAL-2045,observed_landslide,26.2363,94.8133,1565.0,13.26,135.0,NASA_USGS_SRTM_30m
GLC-REAL-7701,observed_landslide,25.6278,94.1051,1527.0,15.5,147.26,NASA_USGS_SRTM_30m
GLC-REAL-2422,observed_landslide,23.74183,92.71419,934.0,17.01,29.36,NASA_USGS_SRTM_30m
GLC-REAL-6513,observed_landslide,23.0137,91.7174,29.0,2.13,26.57,NASA_USGS_SRTM_30m
GLC-REAL-2248,observed_landslide,26.222,94.9152,1757.0,29.21,63.43,NASA_USGS_SRTM_30m
GLC-REAL-5268,observed_landslide,26.0137,94.5163,1727.0,6.85,303.69,NASA_USGS_SRTM_30m
GLC-REAL-6106,observed_landslide,26.1407,91.7645,62.0,2.86,270.0,NASA_USGS_SRTM_30m
GLC-REAL-3965,observed_landslide,24.808,93.117,41.0,5.13,111.8,NASA_USGS_SRTM_30m
GLC-REAL-6969,observed_landslide,25.5114,90.215,307.0,7.42,50.19,NASA_USGS_SRTM_30m
GLC-REAL-2044,observed_landslide,25.8877,94.7861,1172.0,6.65,90.0,NASA_USGS_SRTM_30m
GLC-REAL-2587,observed_landslide,25.6623,94.1072,1387.0,10.56,169.7,NASA_USGS_SRTM_30m
GLC-REAL-8684,observed_landslide,25.9611,91.3681,182.0,5.13,291.8,NASA_USGS_SRTM_30m
GLC-REAL-1596,observed_landslide,24.7339,93.9161,883.0,13.82,241.7,NASA_USGS_SRTM_30m
GLC-REAL-1771,observed_landslide,26.1978,91.7665,88.0,17.57,180.0,NASA_USGS_SRTM_30m
GLC-REAL-7364,observed_landslide,24.819,94.3551,1610.0,28.73,340.46,NASA_USGS_SRTM_30m
GLC-REAL-6968,observed_landslide,25.463,92.2121,1384.0,2.13,26.57,NASA_USGS_SRTM_30m
GLC-REAL-7373,observed_landslide,24.9111,94.4759,1831.0,24.75,139.4,NASA_USGS_SRTM_30m
GLC-REAL-4570,observed_landslide,27.8458,95.2253,133.0,0.95,90.0,NASA_USGS_SRTM_30m
GLC-REAL-1935,observed_landslide,23.8986,91.7599,190.0,6.72,261.87,NASA_USGS_SRTM_30m
GLC-REAL-2577,observed_landslide,25.5265,93.8673,1373.0,24.48,23.75,NASA_USGS_SRTM_30m
GLC-REAL-7276,observed_landslide,26.1062,91.8717,248.0,8.74,12.53,NASA_USGS_SRTM_30m
GLC-REAL-2576,observed_landslide,25.4788,94.1399,1644.0,15.18,259.38,NASA_USGS_SRTM_30m
GLC-REAL-6293,observed_landslide,25.5006,90.0896,47.0,3.93,284.04,NASA_USGS_SRTM_30m
GLC-REAL-4858,observed_landslide,26.1662,91.7138,147.0,22.62,180.0,NASA_USGS_SRTM_30m
GLC-REAL-5269,observed_landslide,25.8376,94.5234,804.0,1.35,315.0,NASA_USGS_SRTM_30m
GLC-REAL-5270,observed_landslide,26.0481,94.4619,866.0,29.93,337.89,NASA_USGS_SRTM_30m
GLC-REAL-6284,observed_landslide,26.1324,91.8342,70.0,3.81,90.0,NASA_USGS_SRTM_30m
GLC-REAL-9251,observed_landslide,25.8702,94.7844,1148.0,3.44,146.31,NASA_USGS_SRTM_30m
GLC-REAL-7699,observed_landslide,26.0214,94.5224,1622.0,32.06,334.8,NASA_USGS_SRTM_30m
GLC-REAL-7664,observed_landslide,24.7459,93.4251,768.0,3.44,123.69,NASA_USGS_SRTM_30m
GLC-REAL-7589,observed_landslide,25.2568,92.3825,803.0,5.55,300.96,NASA_USGS_SRTM_30m
GLC-REAL-7887,observed_landslide,27.8835,96.9262,976.0,42.2,323.97,NASA_USGS_SRTM_30m
GLC-REAL-9404,observed_landslide,28.0822,96.5316,581.0,31.43,11.0,NASA_USGS_SRTM_30m
GLC-REAL-6287,observed_landslide,26.1295,91.7056,144.0,4.76,53.13,NASA_USGS_SRTM_30m
GLC-REAL-2304,observed_landslide,25.5718,94.1211,1625.0,7.65,119.74,NASA_USGS_SRTM_30m
