sample_id,label,sample_type,data_pedigree,source,event_date,state,latitude,longitude,trigger,fatalities,dem_source,rainfall_source,soil_source,landcover_source,original_source_fields,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa,split_target
GLC-REAL-5122,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-17,Nagaland,25.7658,93.9413,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland', 'source_name': 'The Hindu', 'source_link': 'http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece'}",807.0,41.26,308.83,5.65,24.17,,,,,,,,,,,,TRAIN
GLC-REAL-5123,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-17,Nagaland,25.7131,94.0885,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 2 Near Meriema Village, 10 Km Away From Kohima', 'source_name': 'The Hindu', 'source_link': 'http://www.thehindu.com/news/national/other-states/fresh-mudslides-affect-traffic-in-nagalandmanipur/article4928261.ece'}",1413.0,25.36,349.88,3.66,25.34,,,,,,,,,,,,TRAIN
GLC-REAL-5084,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2013-07-12,Nagaland,25.616,94.1167,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland', 'source_name': 'www.assamtribune.com', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=jul1613/oth06'}",1591.0,26.27,191.69,18.68,107.07,,,,,,,,,,,,TRAIN
GLC-REAL-1109,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2009-08-20,Assam,25.5215,93.1645,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Lumding-Badarpur section in North Cachar Hills district', 'source_name': 'prokerala', 'source_link': 'http://www.prokerala.com/news/articles/a75292.html'}",281.0,3.93,165.96,12.55,40.34,,,,,,,,,,,,TRAIN
GLC-REAL-1961,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-06-09,Meghalaya,25.8833,91.2,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Ishok Chingphu(?), Bishnupur, Assam', 'source_name': 'e-pao.net', 'source_link': 'http://e-pao.net/GP.asp?src=Snipp3..100610.jun10'}",255.0,25.92,210.96,21.72,69.05,,,,,,,,,,,,TRAIN
GLC-REAL-2025,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2010-06-28,Meghalaya,25.5728,91.885,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Police CID complex(?), Shillong, Meghalaya', 'source_name': 'hindustantimes', 'source_link': 'http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx'}",1504.0,8.98,71.57,49.93,121.2,,,,,,,,,,,,TRAIN
GLC-REAL-9405,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-04-19,Nagaland,26.7223,95.0243,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Techahan Ward, Mon, Nagaland, India', 'source_name': 'Assam Tribune', 'source_link': 'http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058'}",696.0,17.01,119.36,10.83,37.9,,,,,,,,,,,,TRAIN
GLC-REAL-6971,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2015-06-09,Arunachal Pradesh,27.0987,93.816,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'Itanagar, Arunachal Pradesh', 'source_name': 'First Post', 'source_link': 'http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html'}",215.0,13.52,146.31,44.35,137.97,,,,,,,,,,,,TRAIN
GLC-REAL-4382,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2012-06-03,Assam,25.1175,92.8573,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': '\xa0between Harangajao and Mailongdisa, Assa,', 'source_name': 'articles.timesofindia', 'source_link': 'http://articles.timesofindia.indiatimes.com/2012-06-04/guwahati/32030359_1_barail-hill-harangajao-landslides'}",154.0,9.87,286.7,27.34,76.45,,,,,,,,,,,,TRAIN
GLC-REAL-9168,1,observed_landslide,NASA_GLC_OBSERVATIONAL_GROUND_TRUTH,NASA_GLC,2016-06-12,Arunachal Pradesh,27.6438,93.871,Unknown,0,NASA_USGS_SRTM_30m,NASA_POWER_PRECTOTCORR_Daily,ISRIC_SoilGrids_2.0_Unavailable,ESA_WorldCover_Tile_Unavailable,"{'location_description': 'NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India', 'source_name': 'Arunachal Times', 'source_link': 'http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/'}",1707.0,28.18,354.64,23.76,42.42,,,,,,,,,,,,TRAIN
