sample_id,label,latitude,longitude,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa,split_target,state,district,corridor,event_date,geology,trigger,sample_type,data_pedigree
LS-POS-0001,1,27.2122,88.6754,1931.0,42.37,278.9,27.86,82.36,39.81,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,57.7,8.8,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2020-08-11,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0002,1,27.3708,88.554,686.0,51.28,211.7,6.46,32.17,15.55,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,47.3,20.8,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2022-09-15,Granite Gneiss,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0003,1,27.3782,88.2035,690.4,40.59,212.0,9.96,29.51,14.26,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,42.1,21.9,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2021-08-14,Quartzite Schist,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0004,1,27.2177,88.6916,1466.8,48.64,299.4,18.28,42.41,23.76,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,48.9,10.1,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2018-09-02,Schist & Phyllite,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0005,1,27.3443,88.3927,677.9,33.54,54.3,3.46,28.83,13.93,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,42.1,8.8,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-09-15,Disang Shale,High Intensity Rain,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0006,1,27.5865,88.3294,1809.4,35.48,254.3,18.71,69.79,33.73,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,52.6,21.7,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2022-06-18,Quartzite Schist,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0007,1,27.6076,88.6474,1696.3,50.12,149.9,6.46,32.17,15.55,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,46.0,10.3,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2022-09-15,Schist & Phyllite,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0008,1,27.1399,88.6144,1274.3,34.74,89.6,12.23,46.12,22.29,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,47.8,7.9,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2021-08-14,Schist & Phyllite,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0009,1,26.9609,88.4117,1341.0,35.04,258.3,2.07,7.14,3.45,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,39.9,7.3,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2018-08-18,Disang Shale,Monsoon Cloudburst,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0010,1,27.3742,88.6632,1789.4,49.96,145.1,31.45,54.67,40.88,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,52.0,20.5,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-09-02,Quartzite Schist,Prolonged Downpour,POSITIVE_LANDSLIDE,REAL_OBSERVATION
