sample_id,date,lat,lon,elevation_m,slope_deg,aspect_deg,state,district,corridor,split_target,geology,trigger,label,source,sample_type
LS-POS-0001,2020-08-11,27.2122,88.6754,1931.0,42.37,278.9,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0002,2022-09-15,27.3708,88.554,686.0,51.28,211.7,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0003,2021-08-14,27.3782,88.2035,690.4,40.59,212.0,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0004,2018-09-02,27.2177,88.6916,1466.8,48.64,299.4,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0005,2019-09-15,27.3443,88.3927,677.9,33.54,54.3,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0006,2022-06-18,27.5865,88.3294,1809.4,35.48,254.3,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0007,2022-09-15,27.6076,88.6474,1696.3,50.12,149.9,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Prolonged Downpour,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0008,2021-08-14,27.1399,88.6144,1274.3,34.74,89.6,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0009,2018-08-18,26.9609,88.4117,1341.0,35.04,258.3,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,Monsoon Cloudburst,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0010,2021-09-02,27.3742,88.6632,1789.4,49.96,145.1,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Quartzite Schist,Prolonged Downpour,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0011,2021-08-14,27.4182,88.533,1684.8,34.59,237.6,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,TRAIN,Schist & Phyllite,High Intensity Rain,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
LS-POS-0012,2020-07-10,27.4825,88.4806,1999.2,39.85,163.6,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,TRAIN,Disang Shale,High Intensity Rain,1,NASA_GLC,POSITIVE_LANDSLIDE
LS-POS-0013,2019-08-08,27.0912,88.6479,1481.9,41.52,155.8,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,TRAIN,Granite Gneiss,Monsoon Cloudburst,1,ISRO_ATLAS,POSITIVE_LANDSLIDE
