sample_id,date,lat,lon,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,rainfall_source,rainfall_data_pedigree,rainfall_is_missing
LS-POS-0001,2020-08-11,27.2122,88.6754,27.86,82.36,39.81,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0002,2022-09-15,27.3708,88.554,6.46,32.17,15.55,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0003,2021-08-14,27.3782,88.2035,9.96,29.51,14.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0004,2018-09-02,27.2177,88.6916,18.28,42.41,23.76,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0005,2019-09-15,27.3443,88.3927,3.46,28.83,13.93,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0006,2022-06-18,27.5865,88.3294,18.71,69.79,33.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0007,2022-09-15,27.6076,88.6474,6.46,32.17,15.55,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0008,2021-08-14,27.1399,88.6144,12.23,46.12,22.29,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0009,2018-08-18,26.9609,88.4117,2.07,7.14,3.45,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0010,2021-09-02,27.3742,88.6632,31.45,54.67,40.88,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0011,2021-08-14,27.4182,88.533,8.72,28.77,13.91,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0012,2020-07-10,27.4825,88.4806,69.91,98.8,90.88,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0013,2019-08-08,27.0912,88.6479,13.67,68.68,33.2,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0014,2022-09-15,27.4789,88.3144,5.77,28.07,13.57,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0015,2018-06-14,27.5126,88.2933,6.71,25.1,12.13,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0016,2018-06-14,27.4034,88.2003,6.71,25.1,12.13,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0017,2022-05-18,27.1863,88.6715,6.75,57.25,27.67,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0018,2018-07-22,27.1228,88.5482,3.95,18.3,8.85,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0019,2019-07-12,26.9731,88.3725,67.38,159.53,87.59,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0020,2020-08-11,27.4205,88.5808,14.35,44.08,21.31,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0021,2022-07-19,27.5088,88.2754,11.66,19.18,15.16,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0022,2022-06-18,27.5167,88.3743,18.71,69.79,33.73,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0023,2018-06-14,27.5641,88.329,6.71,25.1,12.13,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0024,2018-06-14,27.5781,88.6502,6.16,27.11,13.1,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0025,2018-08-18,27.0089,88.2808,2.07,7.14,3.45,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0026,2018-06-14,27.1487,88.3527,11.92,35.72,17.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0027,2021-07-28,27.0752,88.3832,9.62,55.73,26.94,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0028,2021-08-14,27.6352,88.4434,8.72,28.77,13.91,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0029,2021-07-28,27.0867,88.5612,14.8,48.08,23.24,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0030,2018-06-14,27.2091,88.2077,11.92,35.72,17.26,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0031,2018-08-18,27.164,88.2955,2.07,7.14,3.45,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0032,2022-05-18,27.018,88.5075,6.75,57.25,27.67,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0033,2021-06-25,27.0456,88.5545,14.03,35.72,18.24,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0034,2018-07-22,26.9536,88.5139,3.95,18.3,8.85,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0035,2022-05-18,27.3548,88.218,3.18,25.41,12.28,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0036,2018-09-02,27.5258,88.3801,13.03,31.38,16.94,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0037,2022-07-19,27.0861,88.4057,16.2,26.18,21.06,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0038,2020-06-25,27.1396,88.4195,37.6,82.29,48.88,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0039,2018-06-14,26.9907,88.6576,13.16,43.86,21.2,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0040,2021-07-28,27.4665,88.4772,16.24,46.47,22.46,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0041,2018-09-02,27.0159,88.3557,13.41,38.3,18.51,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0042,2022-07-19,27.2537,88.3993,11.66,19.18,15.16,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0043,2020-09-22,27.5495,88.5293,25.65,52.33,33.34,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0044,2020-07-10,27.4003,88.4291,81.26,107.94,105.64,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0045,2019-09-15,27.1418,88.3073,6.02,41.53,20.07,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0046,2020-08-11,27.4271,88.3703,13.19,41.94,20.27,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0047,2018-08-18,27.4645,88.6017,9.58,28.7,13.87,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0048,2021-06-25,27.2104,88.5882,14.03,35.72,18.24,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0049,2022-07-19,27.1168,88.3889,16.2,26.18,21.06,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0050,2021-09-02,26.9576,88.6527,47.27,96.08,61.45,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0051,2020-07-10,27.1552,88.3643,121.53,157.48,157.99,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0052,2020-06-25,27.6472,88.2279,37.3,80.02,48.49,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0053,2018-07-22,27.3828,88.2506,7.89,24.69,11.93,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0054,2021-06-25,27.0094,88.6933,14.03,35.72,18.24,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
LS-POS-0055,2019-08-08,27.2134,88.2418,12.18,52.64,25.44,NASA_POWER_GPM_IMERG_V07B,REAL_OBSERVATION,False
